,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
204,False,/2bHGk7j4OD21qeXRRDYrKVhxzRc.jpg,"[16, 35, 18]",123876,['JP'],ja,古見さんは、コミュ症です。,"At a high school full of unique characters, Tadano helps his shy and unsociable classmate Komi reach her goal of making friends with 100 people.",113.578,/rOEaKS6jdZacivHnM56NQ4yhccW.jpg,2021-10-07,Komi Can't Communicate,8.435,383
205,False,/3dfNdzSGxRf0iK5xxXOCMArjUrt.jpg,"[10765, 9648, 18]",6357,"['CA', 'US']",en,The Twilight Zone,"A series of unrelated stories containing drama, psychological thriller, fantasy, science fiction, suspense, and/or horror, often concluding with a macabre or unexpected twist.",275.499,/7uY4pCOxbEdv4M8jTE4uMPVoSIW.jpg,1959-10-02,The Twilight Zone,8.433,826
206,False,/mcgZDwhMlrFsfpbvCeg5RY5mhiu.jpg,"[80, 18]",1409,['US'],en,Sons of Anarchy,"An adrenalized drama with darkly comedic undertones that explores a notorious outlaw motorcycle club’s (MC) desire to protect its livelihood while ensuring that their simple, sheltered town of Charming, California remains exactly that, charming. The MC must confront threats from drug dealers, corporate developers, and overzealous law officers. Behind the MC’s familial lifestyle and legally thriving automotive shop is a ruthless and illegal arms business driven by the seduction of money, power, and blood.",404.591,/yPLkf4EiCkR0NOvMfmpHMA2zfN3.jpg,2008-09-03,Sons of Anarchy,8.433,2702
207,False,/qV9o0RIBCRKyqLDLZAihskR23Gx.jpg,"[80, 18]",58841,['US'],en,Chicago P.D.,"A riveting police drama about the men and women of the Chicago Police Department's District 21 who put it all on the line to serve and protect their community. District 21 is made up of two distinctly different groups: the uniformed cops who patrol the beat and go head-to-head with the city's street crimes and the Intelligence Unit that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond.",838.963,/mZObarMPF76PGVmwywQ7Ks4UFpR.jpg,2014-01-08,Chicago P.D.,8.433,2274
208,False,/dYSfTfn9JaraEuTuTDXcfOBpfjQ.jpg,"[10765, 10759, 16]",2723,['US'],en,Samurai Jack,"A great warrior is displaced to the distant future by the evil shape-shifting wizard Aku. The world has become a bleak place under the rule of Aku, segregated into fantastic tribes and ruled by Aku's evil robot warlords. Jack travels this foreign landscape in search of a time portal that can return him to his home time so he can ""undo the future that is Aku!"".",206.399,/ddZ7Q2WZ0xAHkVXYvcEgNGFgVkw.jpg,2001-08-10,Samurai Jack,8.428,703
209,False,/2Wm3NkGNCT08l95S0n6mowKyoao.jpg,"[16, 35]",72296,['JP'],ja,はじめてのギャル,"A new school term begins, as does the season of new encounters. As he surveys his class full of couples, Hashiba Jun'ichi's mind is filled with distress as he asks himself, ""Why am I still a virgin?!"" Having heard from his friends that the easiest way to fulfill his long-standing desire to graduate from the fellowship of virgins is to kowtow to a gal, Jun'ichi does exactly that and asks his classmate Yukana out. And unbelievably, she actually agrees to date him. What will become of Jun'ichi from now on?",67.523,/nq7uJqddMpGMCcIfL6qiCVHUMB6.jpg,2017-07-12,My First Girlfriend is a Gal,8.4,368
210,False,/mz5L2zlZuMlQwVE8Yxvb2YK1wsl.jpg,"[16, 18, 10765]",61752,['JP'],ja,ヘルシング アルティメット,"For over a century, the mysterious Hellsing Organization has been secretly protecting the British Empire from the undead. When Sir Integra Hellsing succeeded as the head of the organization, she also inherited the ultimate weapon against these supernatural enemies: Alucard, a rogue vampire possessing mysterious and frightening powers. Now, Hellsing must deal with a more dangerous threat than vampires.",67.294,/evZtiZzMX9VFoM1zzvRUmPoLPBg.jpg,2006-02-10,Hellsing Ultimate,8.4,563
211,False,/75HgaphatW0PDI3XIHQWZUpbhn6.jpg,"[80, 18, 10765, 9648]",70523,['DE'],de,Dark,A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.,188.769,/apbrbWs8M9lyOpJYU5WXrpFbk1Z.jpg,2017-12-01,Dark,8.427,6310
212,False,/e5YSF0Inv9eL77jv2WQtNOOB3Bg.jpg,"[16, 35, 10759, 10751, 10765]",61175,['US'],en,Steven Universe,"A young boy takes his mother's place in a group of gemstone-based beings, and must learn to control his powers.",407.781,/gKUuGaeZ9qiJ9Spoq0LrANQSN5x.jpg,2013-11-04,Steven Universe,8.4,1089
213,False,/jt7c70Axkhy7o9u00JT8Lygfd3H.jpg,[35],76747,['US'],en,On My Block,A coming of age comedy following a diverse group of teenage friends as they confront the challenges of growing up in gritty inner-city Los Angeles.,48.305,/aFHmGVDNLFmhLjDNbFuMSBOxUv5.jpg,2018-03-16,On My Block,8.4,628
214,False,/zHQ2ntgjx2xHMkyXFgI1tjcoHST.jpg,"[16, 35, 18]",46041,['JP'],ja,となりの怪物くん,"Mizutani Shizuku finds peace in her studies.  Working hard to stay at the top of the class, alone but focused.  When she is tasked with delivering class materials to Yoshida Haru, her world starts to rapidly expand.  With some new friends and feelings, will she be able to stay focused on her studies?",49.982,/qmGAYDNuENa94kGV56Oe0Kwm3dX.jpg,2012-10-02,My Little Monster,8.4,315
215,False,/3Id4UGssefRUWLdsh8MXx0nnxst.jpg,"[16, 10765, 10759]",33217,['US'],en,Young Justice,Teenage superheroes strive to prove themselves as members of the Justice League.,358.045,/y6oejQ0RGFZYILobsvze8F0xWEY.jpg,2010-11-26,Young Justice,8.4,1027
216,False,/3HR0p12DxQjj3l9OXo4wvcaJiT0.jpg,"[35, 10759, 9648, 18]",61670,['KR'],ko,힐러,"A star reporter, a second-rate journalist and a man by the code name ""Healer"" are brought together by a long-buried incident that hides dark truths.",44.146,/too4Zig9bDJOfvnFfU1SaxKmGlR.jpg,2014-12-08,Healer,8.4,266
217,False,/vXpeJJs1z8OKC88CNJX9O9QOhtr.jpg,"[10765, 18, 10759]",94997,['US'],en,House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",255.677,/m7ta0kNg2ONvnBFF76miVvbWK1V.jpg,2022-08-21,House of the Dragon,8.421,3743
218,False,/uoBUj75vcxF17uq2ToD63lgPdzD.jpg,"[35, 18, 16]",210942,['KR'],ko,외모지상주의,"In a society that favors good looks, a high school outcast leads a double life switching between his two bodies that are polar opposites in appearance.",35.145,/qkoM63HDuCOSwxGfb0pljrgns9I.jpg,2022-12-08,Lookism,8.419,223
219,False,/b5MQqMNvnikh6qBdg9fszavXaVa.jpg,"[10765, 18]",93846,['KR'],ko,더 킹 : 영원의 군주,Korean emperor Lee Gon tries to close the doors to a parallel world which was opened by demons; a detective tries to protect the people and the one she loves.,49.919,/7SLlbkzOJb8v9wXVYIcqozx2hxe.jpg,2020-04-17,The King: Eternal Monarch,8.4,809
220,False,/coHgKyLRwhbMktEWr6dwSYUg2BH.jpg,"[35, 10766, 18]",12637,['MX'],es,Rebelde,Six teenagers with different lives and personalities attend a prominent private school with only one thing in common: their vocation and passion for music.,288.07,/kQHXg2BOiODkF4yVI75NcodMmAJ.jpg,2004-10-04,Rebelde,8.4,5089
221,False,/cwVzRpIoM5HosY5BQqrX8G0IWRg.jpg,[18],100834,['ES'],es,Veneno,"Adored for her charisma and her free, explicit and fun way of expressing herself, La Veneno gained popularity thanks to her television appearances in the 90s. However, her life and especially her death remain an enigma.",22.587,/megpI1kAHCWYvv08oKIn0CB1QwY.jpg,2020-03-29,Veneno,8.4,1365
222,False,/aJGPkrye2p8qzM42xSUtRvrZ5Ou.jpg,"[16, 10765, 10759]",91425,['US'],en,Infinity Train,Passengers on board the mysterious Infinity Train must explore a series of endless cars that each contain unique worlds and puzzles to solve in order to unravel the mysteries of the train - and within themselves - to open the doorway home.,121.192,/wEhc48kGjoWw8qcHu2Lar7NFrgG.jpg,2019-08-05,Infinity Train,8.4,218
223,False,/eSB0fD6CbNW3LT8Z55V07fmYFpo.jpg,"[18, 35, 10765]",218539,['KR'],ko,마이데몬,"A pitiless demon becomes powerless after getting entangled with an icy heiress, who may hold the key to his lost abilities — and his heart.",229.143,/xBnscv5BrJREKVSvh0le61y4KDk.jpg,2023-11-24,My Demon,8.416,274
224,False,/oPJQvS8Xyg7chAX0jQoC2smqMxv.jpg,"[10765, 18, 35, 9648]",108284,['KR'],ko,구미호뎐,A TV producer discovers a secret supernatural world as she becomes entangled with a former deity who's spent centuries searching for his lost lover.,41.168,/jXx9vLO9bwKxl81oVQnzEH7960V.jpg,2020-10-07,Tale of the Nine Tailed,8.4,416
225,False,/oAfc1oNsURepm6VegBSBw1IGMF4.jpg,"[16, 18, 9648]",42589,['JP'],ja,Another,"When Kouichi arrives at his new school, he immediately senses something frightening in the atmosphere of his new class, something that no student wants to talk about and that seems to be related to a mysterious and silent girl.",52.112,/32F1lhW53H0mp4uNXCGhyJQUULs.jpg,2012-01-10,Another,8.415,904
226,False,/9hfA9zMsyckwZ8WLMVQYKG8YSwY.jpg,[18],80350,['US'],en,New Amsterdam,"The new medical director breaks the rules to heal the system at America's oldest public hospital. Max Goodwin sets out to tear up the bureaucracy and provide exceptional care, but the doctors and staff are not so sure he can succeed. They've heard this before. Not taking ""no"" for an answer, Dr. Goodwin's instinctive response to problems large and small is four simple words: ""How can I help?"" He has to disrupt the status quo and prove he'll stop at nothing to breathe new life into this underfunded and underappreciated hospital, returning it to the glory that put it on the map.",209.352,/jsH4AeGZn5Q6h314A3OTUHKxHhR.jpg,2018-09-25,New Amsterdam,8.414,928
227,False,/eCefaxvMxisEJHahp8Az2eBpwud.jpg,"[16, 10765, 35]",3793,['US'],en,Invader ZIM,"Invader Zim is an American animated television series created by Jhonen Vasquez. The show premiered on Nickelodeon on March 30, 2001. The series involves an extraterrestrial named Zim who originates from a planet called Irk, and his ongoing mission to conquer and destroy Earth. His various attempts to subjugate and destroy the human race are invariably undermined by some combination of his own ineptitude, his malfunctioning robot servant GIR, and a young paranormal investigator named Dib, one of the very few people attentive enough to be aware of Zim's identity.",90.792,/h9T3oTwclpHP13BeutA7wQjEC4r.jpg,2001-03-30,Invader ZIM,8.412,364
228,False,/sNHoOagykUU0WpVBa162w1NP0mP.jpg,"[10759, 16, 35, 10765, 80]",74440,['US'],en,Harley Quinn,Harley Quinn has finally broken things off once and for all with the Joker and attempts to make it on her own as the criminal Queenpin of Gotham City.,223.216,/abDkDGruscppQ2zBb2qcrdkRzzH.jpg,2019-11-29,Harley Quinn,8.408,984
229,False,/bkvkJyLqOk2ZbELDEukEAXEatrt.jpg,"[16, 9648, 10759, 10765, 18]",97860,['JP'],ja,神之塔 -Tower of God-,"Reach the top, and everything will be yours. At the top of the tower exists everything in this world, and all of it can be yours. You can become a god. This is the story of the beginning and the end of Rachel, the girl who climbed the tower so she could see the stars, and Bam, the boy who needed nothing but her.",75.468,/y1AqUftsCLNGRNE7McJzGqLFEdu.jpg,2020-04-02,Tower of God,8.407,397
230,False,/3d0tKO9eUC0aLB4u3LnbKlCcy8y.jpg,[18],44006,['US'],en,Chicago Fire,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.",778.786,/2yaeYNplMuLGNjBigMFsek7UZmq.jpg,2012-10-10,Chicago Fire,8.407,2088
